

############
### COST ###
############

@corvette_reactor_cost_6 = 37
			country_uses_bio_ships = no
		}
	}

	show_tech_unlock_if = {
		country_uses_bio_ships = no
	}
	upgrades_to = "DREADNOUGHT_OPTIMIZED_ENIGMATIC_REACTOR"

	ai_weight = { weight = 10 }
}

utility_component_template = {
	key = "TITAN_MULTIDIMENSIONAL_REACTOR"
	size = small
	icon = "GFX_ship_part_reactor_9_NSC"
	icon_frame = 1
	power = @titan_reactor_power_10
	
	resources = {
		category = ship_components
		cost = { alloys = @titan_reactor_cost_10 }	
		upkeep = {
			energy = 24.97
			alloys = 0.2497
		}
	}
	
	prerequisites = { "tech_multidimensional_power" }
	component_set = "power_core"
		potential = {
		ship_uses_titan_reactors = yes
		from = {
			country_uses_bio_ships = no
		}
	}

	show_tech_unlock_if = {
		country_uses_bio_ships = no
	}
	upgrades_to = "TITAN_OPTIMIZED_ENIGMATIC_REACTOR"

	ai_weight = { weight = 10 }
}

utility_component_template = {
	key = "JUGGERNAUT_MULTIDIMENSIONAL_REACTOR"
	size = small
	icon = "GFX_ship_part_reactor_9_NSC"
	icon_frame = 1
	power = @juggernaut_reactor_power_10
	resources = {
		category = ship_components
		cost = {
			alloys = @juggernaut_reactor_cost_10
		}
		upkeep = {
			energy = 31.38
			alloys = 3.138
		}
	}

	prerequisites = { "tech_multidimensional_power" }
	component_set = "power_core"
		potential = {
		ship_uses_juggernaut_reactors = yes
		from = {
			country_uses_bio_ships = no
		}
	}

	show_tech_unlock_if = {
		country_uses_bio_ships = no
	}
	upgrades_to = "JUGGERNAUT_OPTIMIZED_ENIGMATIC_REACTOR"

	ai_weight = { weight = 9 }
}

utility_component_template = {
	key = "PLATFORM_MULTIDIMENSIONAL_REACTOR"
	size = small
	icon = "GFX_ship_part_reactor_9_NSC"
	icon_frame = 1
	power = @platform_reactor_power_10
	
	resources = {
		category = ship_components
		cost = { alloys = @platform_reactor_cost_10 }	
		upkeep = {
			energy = 1.1
			alloys = 0.11
		}
	}

	prerequisites = { "tech_multidimensional_power" }
	potential = {
		ship_uses_platform_reactors = yes
		from = {
			country_uses_bio_ships = no
		}
	}

	show_tech_unlock_if = {
		country_uses_bio_ships = no
	}
	component_set = "power_core"
	upgrades_to = "PLATFORM_OPTIMIZED_ENIGMATIC_REACTOR"

	ai_weight = { weight = 10 }
}

utility_component_template = {
	key = "STATION_MULTIDIMENSIONAL_REACTOR"
	size = small
	icon = "GFX_ship_part_reactor_9_NSC"
	icon_frame = 1
	power = @station_reactor_power_10
	
	resources = {
	category = ship_components
		cost = { alloys = @station_reactor_cost_10 }	
		upkeep = {
			energy = 1.15
			alloys = 0.115
		}
	}

	prerequisites = { "tech_multidimensional_power" }
	potential = {
		ship_uses_station_reactors = yes
		from = {
			country_uses_bio_ships = no
		}
	}

	show_tech_unlock_if = {
		country_uses_bio_ships = no
	}
	component_set = "power_core"
	upgrades_to = "STATION_OPTIMIZED_ENIGMATIC_REACTOR"

	ai_weight = { weight = 12 }
}

utility_component_template = {
	key = "FORTRESS_MULTIDIMENSIONAL_REACTOR"
	size = small
	icon = "GFX_ship_part_reactor_9_NSC"
	icon_frame = 1
	power = @fortress_reactor_power_9
	
	resources = {
		category = ship_components
		cost = { alloys = @fortress_reactor_cost_9 }	
		upkeep = {
			energy = 1.2
			alloys = 0.12
		}
	}

	prerequisites = { "tech_multidimensional_power" }
	potential = {
		ship_uses_fortress_reactors = yes
		from = {
			country_uses_bio_ships = no
		}
	}

	show_tech_unlock_if = {
		country_uses_bio_ships = no
	}
	component_set = "power_core"
	upgrades_to = "FORTRESS_OPTIMIZED_ENIGMATIC_REACTOR"

	ai_weight = { weight = 12 }
}



########################################################################################################################################################################
### Optimized Dark Matter Reactors (Level 11 NSC) ######################################################################################################################
########################################################################################################################################################################

utility_component_template = {
	key = "CORVETTE_OPTIMIZED_ENIGMATIC_REACTOR"
	size = small
	icon = "GFX_ship_part_reactor_11_enigmatic_NSC"
	icon_frame = 1
	power = @corvette_reactor_power_11
	
	resources = {
		category = ship_components
		cost = {
			alloys = @corvette_reactor_cost_11
			sr_dark_matter = 1
		}	
		upkeep = {
			energy = 0.82
			alloys = 0.082
		}
	}
	
	prerequisites = { "tech_optimized_enigmatic_power" }
	component_set = "power_core"
	potential = {
		ship_uses_corvette_reactors = yes
		from = {
			country_uses_bio_ships = no
		}
	}

	show_tech_unlock_if = {
		country_uses_bio_ships = no
	}

	ai_weight = { 
		weight = 11
		modifier = {
			factor = 0.0
			no_resource_for_component = { RESOURCE = sr_dark_matter }
		}
	}
}

utility_component_template = {
	key = "DESTROYER_OPTIMIZED_ENIGMATIC_REACTOR"
	size = small
	icon = "GFX_ship_part_reactor_11_enigmatic_NSC"
	icon_frame = 1
	power = @destroyer_reactor_power_11
	
	resources = {
		category = ship_components
		cost = {
			alloys = @destroyer_reactor_cost_11
			sr_dark_matter = 2
		}	
		upkeep = {
			energy = 0.159
			alloys = 0.0159
		}
	}
	
	prerequisites = { "tech_optimized_enigmatic_power" }
	component_set = "power_core"
		potential = {
		ship_uses_destroyer_components = yes
		from = {
			country_uses_bio_ships = no
		}
	}

	show_tech_unlock_if = {
		country_uses_bio_ships = no
	}

	ai_weight = { 
		weight = 11
		modifier = {
			factor = 0.0
			no_resource_for_component = { RESOURCE = sr_dark_matter }
		}
	}
}

utility_component_template = {
	key = "CRUISER_OPTIMIZED_ENIGMATIC_REACTOR"
	size = small
	icon = "GFX_ship_part_reactor_11_enigmatic_NSC"
	icon_frame = 1
	power = @cruiser_reactor_power_11
	
	resources = {
		category = ship_components
		cost = {
			alloys = @cruiser_reactor_cost_11
			sr_dark_matter = 3
		}	
		upkeep = {
			energy = 7.74
			alloys = 0.774
		}
	}
	
	prerequisites = { "tech_optimized_enigmatic_power" }
	component_set = "power_core"
		potential = {
		ship_uses_cruiser_reactors = yes
		from = {
			country_uses_bio_ships = no
		}
	}

	show_tech_unlock_if = {
		country_uses_bio_ships = no
	}

	ai_weight = { 
		weight = 11
		modifier = {
			factor = 0.0
			no_resource_for_component = { RESOURCE = sr_dark_matter }
		}
	}
}

utility_component_template = {
	key = "BATTLECRUISER_OPTIMIZED_ENIGMATIC_REACTOR"
	size = small
	icon = "GFX_ship_part_reactor_11_enigmatic_NSC"
	icon_frame = 1
	power = @Battlecruiser_reactor_power_11
	
	resources = {
		category = ship_components
		cost = {
			alloys = @Battlecruiser_reactor_cost_11
			sr_dark_matter = 5
		}	
		upkeep = {
			energy = 9.38
			alloys = 0.938
		}
	}
	
	prerequisites = { "tech_optimized_enigmatic_power" }
	component_set = "power_core"
		potential = {
		ship_uses_battlecruiser_reactors = yes
		from = {
			country_uses_bio_ships = no
		}
	}

	show_tech_unlock_if = {
		country_uses_bio_ships = no
	}

	ai_weight = { 
		weight = 11
		modifier = {
			factor = 0.0
			no_resource_for_component = { RESOURCE = sr_dark_matter }
		}
	}
}

utility_component_template = {
	key = "BATTLESHIP_OPTIMIZED_ENIGMATIC_REACTOR"
	size = small
	icon = "GFX_ship_part_reactor_11_enigmatic_NSC"
	icon_frame = 1
	power = @battleship_reactor_power_11
	
	resources = {
		category = ship_components
		cost = {
			alloys = @battleship_reactor_cost_11
			sr_dark_matter = 6
		}	
		upkeep = {
			energy = 15.59
			alloys = 0.1559
		}
	}
	
	prerequisites = { "tech_optimized_enigmatic_power" }
	component_set = "power_core"
		potential = {
		ship_uses_battleship_reactors = yes
		from = {
			country_uses_bio_ships = no
		}
	}

	show_tech_unlock_if = {
		country_uses_bio_ships = no
	}

	ai_weight = { 
		weight = 11
		modifier = {
			factor = 0.0
			no_resource_for_component = { RESOURCE = sr_dark_matter }
		}
	}
}

utility_component_template = {
	key = "DREADNOUGHT_OPTIMIZED_ENIGMATIC_REACTOR"
	size = small
	icon = "GFX_ship_part_reactor_11_enigmatic_NSC"
	icon_frame = 1
	power = @Dreadnought_reactor_power_11
	
	resources = {
		category = ship_components
		cost = {
			alloys = @Dreadnought_reactor_cost_11
			sr_dark_matter = 7
		}	
		upkeep = {
			energy = 15.749
			alloys = 0.15749
		}
	}
	
	prerequisites = { "tech_optimized_enigmatic_power" }
	component_set = "power_core"
		potential = {
		ship_uses_dreadnought_reactors = yes
		from = {
			country_uses_bio_ships = no
		}
	}

	show_tech_unlock_if = {
		country_uses_bio_ships = no
	}

	ai_weight = { 
		weight = 11
		modifier = {
			factor = 0.0
			no_resource_for_component = { RESOURCE = sr_dark_matter }
		}
	}
}

utility_component_template = {
	key = "TITAN_OPTIMIZED_ENIGMATIC_REACTOR"
	size = small
	icon = "GFX_ship_part_reactor_11_enigmatic_NSC"
	icon_frame = 1
	power = @titan_reactor_power_11
	
	resources = {
		category = ship_components
		cost = {
			alloys = @titan_reactor_cost_11
			sr_dark_matter = 8
		}	
		upkeep = {
			energy = 30.870
			alloys = 0.30870
		}
	}
	
	prerequisites = { "tech_optimized_enigmatic_power" }
	component_set = "power_core"
		potential = {
		ship_uses_titan_reactors = yes
		from = {
			country_uses_bio_ships = no
		}
	}

	show_tech_unlock_if = {
		country_uses_bio_ships = no
	}

	ai_weight = { 
		weight = 11
		modifier = {
			factor = 0.0
			no_resource_for_component = { RESOURCE = sr_dark_matter }
		}
	}
}

utility_component_template = {
	key = "JUGGERNAUT_OPTIMIZED_ENIGMATIC_REACTOR"
	size = small
	icon = "GFX_ship_part_reactor_9_NSC"
	icon_frame = 1
	power = @juggernaut_reactor_power_11
	resources = {
		category = ship_components
		cost = {
			alloys = @juggernaut_reactor_cost_11
			sr_dark_matter = 10
		}
		upkeep = {
			energy = 34.38
			alloys = 3.438
		}
	}

	prerequisites = { "tech_optimized_enigmatic_power" }
	component_set = "power_core"
		potential = {
		ship_uses_juggernaut_reactors = yes
		from = {
			country_uses_bio_ships = no
		}
	}

	show_tech_unlock_if = {
		country_uses_bio_ships = no
	}


	ai_weight = { weight = 10 }
}

utility_component_template = {
	key = "PLATFORM_OPTIMIZED_ENIGMATIC_REACTOR"
	size = small
	icon = "GFX_ship_part_reactor_11_enigmatic_NSC"
	icon_frame = 1
	power = @platform_reactor_power_11
	
	resources = {
		category = ship_components
		cost = {
			alloys = @platform_reactor_cost_10
			sr_dark_matter = 2
		}	
		upkeep = {
			energy = 1.19
			alloys = 0.119
		}
	}

	prerequisites = { "tech_optimized_enigmatic_power" }
	potential = {
		ship_uses_platform_reactors = yes
		from = {
			country_uses_bio_ships = no
		}
	}

	show_tech_unlock_if = {
		country_uses_bio_ships = no
	}
	component_set = "power_core"


	ai_weight = { 
		weight = 11
		modifier = {
			factor = 0.0
			no_resource_for_component = { RESOURCE = sr_dark_matter }
		}
	}
}

utility_component_template = {
	key = "STATION_OPTIMIZED_ENIGMATIC_REACTOR"
	size = small
	icon = "GFX_ship_part_reactor_11_enigmatic_NSC"
	icon_frame = 1
	power = @station_reactor_power_11
	
	resources = {
		category = ship_components
		cost = {
			alloys = @station_reactor_cost_11
			sr_dark_matter = 3
		}	
		upkeep = {
			energy = 1.24
			alloys = 0.124
		}
	}

	prerequisites = { "tech_optimized_enigmatic_power" }
	potential = {
		ship_uses_station_reactors = yes
		from = {
			country_uses_bio_ships = no
		}
	}

	show_tech_unlock_if = {
		country_uses_bio_ships = no
	}
	component_set = "power_core"


	ai_weight = { 
		weight = 13
		modifier = {
			factor = 0.0
			no_resource_for_component = { RESOURCE = sr_dark_matter }
		}
	}
}

utility_component_template = {
	key = "FORTRESS_OPTIMIZED_ENIGMATIC_REACTOR"
	size = small
	icon = "GFX_ship_part_reactor_11_enigmatic_NSC"
	icon_frame = 1
	power = @fortress_reactor_power_11
	
	resources = {
		category = ship_components
		cost = {
			alloys = @fortress_reactor_cost_11
			sr_dark_matter = 4
		}	
		upkeep = {
			energy = 1.19
			alloys = 0.129
		}
	}

	prerequisites = { "tech_optimized_enigmatic_power" }
	potential = {
		ship_uses_fortress_reactors = yes
		from = {
			country_uses_bio_ships = no
		}
	}

	show_tech_unlock_if = {
		country_uses_bio_ships = no
	}
	component_set = "power_core"


	ai_weight = { 
		weight = 13
		modifier = {
			factor = 0.0
			no_resource_for_component = { RESOURCE = sr_dark_matter }
		}
	}
}



########################################################################################################################################################################
### Flagship Reactors ##################################################################################################################################################
########################################################################################################################################################################

utility_component_template = {
	key = "FLAGSHIP_BLACK_HOLE_REACTOR_1"
	size = small
	icon = "GFX_ship_part_reactor_11_enigmatic_NSC"
	icon_frame = 1
	power = @Flagship_reactor_power_1
	
	resources = {
		category = ship_components
		cost = { alloys = @Flagship_cost }	
		upkeep = {
			energy = 40
			alloys = 0.40
		}
	}

	potential = {
		ship_uses_flagship_components = yes
		from = {
			country_uses_bio_ships = no
		}
	}

	show_tech_unlock_if = {
		country_uses_bio_ships = no
	}
	component_set = "power_core"

	ai_weight = { weight = 10 }
}

utility_component_template = {
	key = "FLAGSHIP_BLACK_HOLE_REACTOR_2"
	size = small
	icon = "GFX_ship_part_reactor_11_enigmatic_NSC"
	icon_frame = 1
	power = @Flagship_reactor_power_2
	
	resources = {
		category = ship_components
		cost = { alloys = @Flagship_cost }	
		upkeep = {
			energy = 50
			alloys = 0.50
		}
	}

	prerequisites = { "tech_bh_power_2" }
	potential = {
		ship_uses_flagship_components = yes
		from = {
			country_uses_bio_ships = no
		}
	}

	show_tech_unlock_if = {
		country_uses_bio_ships = no
	}
	component_set = "power_core"

	ai_weight = { weight = 11 }
}

utility_component_template = {
	key = "FLAGSHIP_BLACK_HOLE_REACTOR_3"
	size = small
	icon = "GFX_ship_part_reactor_11_enigmatic_NSC"
	icon_frame = 1
	power = @Flagship_reactor_power_3
	
	resources = {
		category = ship_components
		cost = { alloys = @Flagship_cost }	
		upkeep = {
			energy = 60
			alloys = 0.6
		}
	}

	prerequisites = { "tech_bh_power_3" }
	potential = {
		ship_uses_flagship_components = yes
		from = {
			country_uses_bio_ships = no
		}
	}

	show_tech_unlock_if = {
		country_uses_bio_ships = no
	}
	component_set = "power_core"

	ai_weight = { weight = 12 }
}



########################################################################################################################################################################
### Special Reactors ###################################################################################################################################################
########################################################################################################################################################################

utility_component_template = {
	key = "STARBASE_PRIMARY_REACTOR"
	size = large
	icon = "GFX_ship_part_dark_matter_power_core"
	icon_frame = 1
	power = 100000

	component_set = "power_core"

	potential = {
		ship_uses_starbase_components = yes
	}

	ai_weight = {
		weight = 100
	}
}
